id	target_txt	prediction
3234  78a18f41-8373-45eb-b583-520ebe68d26f.flac	das gesetz hat sich grundsätzlich sehr bewährt	das gesetz hat sich grundsätzlich bewährt
3209  2c893e6e-48f0-4d24-b1df-98063cce58ee.flac	das hat auch mit solidarität zu tun	es hat auch mit solidarität zu tun
1037  141bdd79-4f6a-4f29-b2e5-a614b6d04255.flac	leider funktioniert das nur bedingt	leider funktioniert da nur bedingt
1700  c1549921-6122-4884-b22e-6d6eae4b704a.flac	da braucht es mehrere tage intensivste regenfälle	es braucht mehrere tage intensive regenfelde
743  ea360277-78df-4e4e-9726-84fe201d969a.flac	deshalb ist punkt 2c auch erfüllt	deshalb ist es zwei c anher erfüllt
1378  5fbac2f4-dd5c-45a4-9eec-84592940e212.flac	das sollten wir wirklich beibehalten	dem sollten wir wirklich beibehalten
3297  b04b22ef-25f9-453e-a1dc-c168094a25f3.flac	es ist klar dass es ein zeichen ist	es ist klar dass dies ein zeichen ist
682  62ad537e-32f5-4a3f-b6c8-b75aefef537c.flac	er sei billiger ortsverträglicher	sie soll billiger ortsverträglicher
1393  89a134f4-353f-4495-8699-dc23994d2846.flac	das vorgehen hat sich sicher bewährt	dieses vorgehen hat sich sicher bewährt
1116  8938cceb-430a-4dc3-9ca6-ded33e971427.flac	das sind minimale ansprüche	das sei minimale ansprüche
439  b3c78a78-6980-443f-ad06-7020f8dda179.flac	die medienpolitik war auch ein grosses thema	die medienpolitik ist auch ein grosses thema
3076  362e58d2-1193-4a08-8438-9b02074630e8.flac	wir finden das sei die falsche flughöhe	wir finden das ist falsche flughöhe
2381  146aad31-6f98-44a5-9847-e3ede62793d4.flac	es ist ein kleiner aufwand mit grosser wirkung	das ist ein kleiner aufwand und grosse wirkung
1785  b2641872-afd3-4f25-ac9c-92a7020772d1.flac	daher unterstützen wir den antrag	deshalb unterstützen wir den antrag
2075  fe58a550-c14c-4476-b018-b24dd76b143e.flac	die gesellschaft ist im wandel begriffen	die gesellschaft ist im wandel im wandel
2849  1df83feb-4208-4a8b-9873-1aff7a84fd23.flac	irgendetwas stimmt dort im verhältnis nicht	irgendwann stimmt dort im verhältnis nicht
1908  fa8843f7-4d22-4dac-b684-b71f539b8379.flac	das gehört für uns ebenso zur unterstützung	das gehört für uns eben so zur unterstützung
1014  080d3c77-1e57-42c5-a429-f8384423d789.flac	ich fasse mich deshalb relativ kurz	ich fasse mich deshalb relativ kurz
2582  de3f5abe-1e38-41a0-8699-5351c42bf225.flac	am schlimmsten ist meiner meinung nach	als schlimmster ist es meiner meinung nach
2685  d60dae4a-de79-4f14-b14a-736770984a03.flac	die motion verlangt einen faktencheck	die motion verlangt einen faktencheck
465  ad33e49d-cc83-4437-9d43-80f002affdc9.flac	alles andere könnte ja schon gar nicht sein	alles andere könnte schon gar nicht sein
474  20017b55-9b7c-4bff-bd2b-e272635f4466.flac	es ist ganz sicher dies ist jetzt vorbei	dieser ist ja ganz sicher durch
977  342ca7e9-8d5c-40f9-a12b-6c5f325972fc.flac	als eigentümer kann man das durchaus tun	das eigentümer kann man das durchaus tun
2085  addbaf7b-a6d9-4c0d-b1bc-6640a5ad8266.flac	das ist privatrechtlich organisiert	das ist privatrechtlich organisiert
988  93da7401-e7c0-4fed-b4f1-8f04ab96551f.flac	ich suche einfach den besten oder die beste	ich suche einfach den besten oder die besten
1488  29d35aab-bbc9-407e-9fda-a5ecaaf8619c.flac	wer gibt schon gerne privilegien her	wer gibt schon gerne privilegienher
2540  1044a9c0-1da4-45ab-8ac8-86b628f24c2c.flac	was bedeutet dies für den kanton bern	was bedeutet das jetzt für den kanton bern
3305  fd3b276c-abdb-4c27-b5cf-b094100dd2a8.flac	die bevölkerung sagt dann ja oder nein	er sagt dann die bevölkerung ob ja oder nein
935  8add785c-b350-4ef2-b495-893f2ec5a789.flac	und auch wenn dann auch mitarbeiter arbeiten	auch wenn sie mitarbeiter arbeiten
1695  898e490f-2314-4fab-8a3e-ba37a20ab6bd.flac	dies zu lasten des staatshaushalts	dies zulasten des staatshaushalts
774  c23c8337-f2e2-49cf-abcd-ffe2ed135bd6.flac	an andern orten ist es einfacher zu machen	anderen orten ist es einfacher zu machen
1722  84e8b6e0-d3dc-4c82-b859-4b0db9cafc53.flac	zusammenfassend können wir folgendes sagen	zusammenfassend können wir folgendes sagen
500  666e09a3-5b46-4f6e-9a68-9738a94cbc51.flac	es ist klar dass es einen schulrat gibt	es ist klar dass es einen schulrat gibt
164  d9ec720a-8bd6-4e2c-b09b-4ce6cc015ffa.flac	die fdp ist ganz klar dagegen	die fdp ist ganz klar dagegen
85  ab5b0df3-f7be-4fcf-83d9-02b396458ef7.flac	ich kann ihnen zwei beispiele nennen	ich kann ihnen zwei beispiele bringen
1689  25a0ccc5-ba9b-4dc4-843e-f86af4cae631.flac	man kann es weniger populistisch sehen	man kann es weniger populistisch sehen
2650  e6734dc3-c9cc-4775-ac32-3bb929a63ccc.flac	ich kann es wirklich sehr kurz machen	man kann es wirklich sehr kurz machen
251  1ac8208b-fd5b-4168-b2d4-3aa3e6252a91.flac	nicht so in den fächern sport und gestalten	nicht so in den fächern sport und gestalten
1684  d5f59d85-b68e-47c2-b2e9-c2bbf7536ab6.flac	wenn sie zum beispiel zu schnell gefahren sind	wir sind beispielsweise zu schnell gefahren
2946  8360c325-42cc-425b-80bb-508e1e6f59bd.flac	deshalb haben wir das gesuch eingereicht	deshalb haben wir ein gesuch einge
416  4a1835a0-8039-424a-978b-fa754a1be0f5.flac	ich möchte sandra hess unterstützen	ich möchte sandra hess unterstützen
3299  96baad57-91f9-4798-b9fb-f1afae1a940a.flac	da braucht es eine europäische lösung	dazu braucht es europäische lösung
18  ce11192d-efba-4e31-9a49-eb4a419b054e.flac	ich denke sie wissen was ich meine	wir sind in diesem zusammenhang
1053  140709be-a791-4ab8-b257-86850694585b.flac	ihnen wollten wir zur seite stehen	hinein wollten wir zur seite stehen
1094  aea0e04c-c490-4241-b03a-4534786c4743.flac	das stellen wir immer wieder fest	das stellen wir immer noch universität
917  d8541306-8856-42b8-b3f7-50a31dcc8e2f.flac	dementsprechend können alle profitieren	alle können diesen entsprechend profitieren
2885  00c66895-4e81-40e6-8361-802784421f52.flac	dies zeigt sich zweifellos auch in den zahlen	das zeigt sich zweifellos auch in den zahlen
3149  6c1ceb87-120b-4166-9b28-245099e493f3.flac	wir danken für ihre unterstützung	wir danken für ihre unterstützung
463  f90e9520-0b36-483d-a9e3-16f8f1d9a7e3.flac	die fdp stimmt dem so zu	die fdp stimmt dem so zu
2537  1ee3102d-fce1-4952-a803-049e9b085b35.flac	es bringt auch gar nichts	es bringt aber auch gar nichts
819  498d9d71-f7f0-4b93-94eb-b17455b46886.flac	auch diese sind nicht mehr gültig	auch diese sind nachher einfach nicht mehr gültig
869  1f5a9ec8-4dd2-4ad6-92e0-50b3cb13cd84.flac	auch das hat seinen wert	auch das hat ihren wert
2489  4b8d1bca-1526-4be7-892f-581329e1c7e2.flac	wir werden an diesem punkt dranbleiben	wir werden an diesem punkt dranbleiben
1385  194c9fde-9e86-4ae4-b7d7-b66a3db4b126.flac	aber betrifft sie wirklich nur mädchen	aber trifft sie wirklich auch die mädchen
49  7b7ff2db-1da0-4eee-8686-8a132a75a482.flac	alle drei planungserklärungen lehnen wir ab	die drei planungserklärungen lehnen wir ab
2551  8808dd88-5325-4feb-876a-ef902fddbe3e.flac	das bringt auch den stimmbürgern nichts	es bringt auch den stimmbürgern nichts
2851  d8f171f2-cfa6-43d7-8ce3-e6b8080f6e5f.flac	wir haben ein grosses problem	wir haben ein grosses problem
2553  495256d0-5c92-4b1b-8827-781d4d112fbf.flac	ich bin gespannt auf ihre voten	ich bin gespannt auf ihre voten
436  decb3aaf-a881-4064-8231-bc949a0daac2.flac	das ist durchaus richtig	das ist durchaus richtig
1676  c79d66e8-f727-4511-b8ac-e027116fae74.flac	wir empfehlen annahme	wir empfehlen annahmen
2914  e6f0c848-a2fe-40da-8573-c86d543369c2.flac	sie greift dazu noch sehr kurz	ich greife dazu noch sehr kurz
1860  0686e0c0-2c40-4782-917a-c08adbb7e85d.flac	sie haben es gehört es ist ein bundesgesetz	wir haben es gehört es ist ein bundesgesetz
2409  4d9e9ad7-deb0-439e-b742-212b473580bc.flac	man bestraft damit die falschen	und es bestraft die falschen
502  71a137ee-0e0a-42a3-b306-e4bb131d4b3e.flac	ein teil ist der personalabbau	ein teil ist personalabbau
92  399a2ef1-bf11-4a9d-bb57-49f1b8fa288b.flac	dies hängt eben genau damit zusammen	es ist aber gerade mit diesem zusammenhang
861  4badbf2d-4fdc-4335-bff7-f68230e5a654.flac	das wurde uns in der kommission aufgezeigt	das wurde in der kommission aufgezeigt
2983  6f457ed2-62bc-48d0-94b5-1415de392f5d.flac	wir sind gegen besetzungen	wir sind gegenbesitzungen
126  51031ceb-d267-49c3-8cb6-33246ec0b1d5.flac	das war für mich ein sehr gutes geschäft	für mich war es ein sehr gutes geschäft
74  81e5def4-a604-491b-b4d8-ac8607dd3d32.flac	dem ist leider nicht so	das ist leider nicht so
431  fbc17abc-0c18-4234-8cf4-41c0cf5bb636.flac	dem will diese motion entgegentreten	deshalb will diese motion entgegentreten
1105  4df1dec1-962a-45ec-86a2-45fcef1f4175.flac	hört einmal kommt in die schweiz	hören sie die in die schweiz
2865  f7457153-8c3d-41b0-8531-1d2ec0a60bee.flac	kann man aus dem vertrag aussteigen	kann man aus dem vertrag aussteigen
2095  7842c9b1-b176-4995-b6e6-99f79d207401.flac	so viel zum steuergeheimnis	so viel zum steuergeheimnis
1842  e9a5494f-ac95-48f8-8f0a-fe403acfefe1.flac	nun komme ich zum vorstoss der bdp	jetzt zum vorstoss der bdp
2762  d6af8f6a-f2a4-41e9-8c5b-ca631c320488.flac	diese probiert man auszubügeln	diese versuchten noch auszupögeln
3092  bf93cea0-d478-4e3c-9deb-37e0a2a2e79c.flac	aber ich nehme das nun so zur kenntnis	ich nehme es so zur kenntnis
2961  21904924-2cdd-4773-b18a-97e7e91f7f59.flac	dann kann man das noch einmal angehen	dann kann man das noch einmal angehen
2136  9cfc5f8d-0d3c-49b4-86d3-07854e5e343f.flac	punkt 2b ist auch erfüllt	punkt 2b ist auch erfüllt
397  1a34134d-271a-4793-b22c-16e4c23028b2.flac	das ist klar es ist keine so schöne sache	das ist klar es ist nicht so schön
2761  b5db7507-a399-4bc1-98fc-8ac706b3e43d.flac	anwendung des freiburgischen rechts	die anwendung des freiburgischen rechts
628  72f7d461-03e7-42eb-8b38-47d661d8d788.flac	ich wiederhole nicht alle punkte	ich wiederhole nicht alle punkte
1400  19686692-5921-42ad-a31b-72c0bca21219.flac	doch ist die frage auch berechtigt	doch die frage ist aber auch berechtigt
1154  2474a2ed-159b-4f00-89d5-79b14a462df4.flac	es steht viel auf dem spiel	es steht viel auf dem spiel
