id	target_txt	prediction
ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten kennen es insassen gemeinsam
ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	die rückweisungsvorhaben ich habe sie offengelassen
ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagten besser am selsten
ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	die regierung ja nicht genug einen setz unserer begarte
ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	in wahl gibt es eine bergrössere woche
ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	zu den sektionen herzlich das ist ein täglicher traut
ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	ein misswoch ist wetterleglich ungeklärt
ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brückt an der fahne zu einem festtritten werden
ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	schildkristieren wir senden reihen und dachbarkeit
ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der fehlinge herkbar
ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind die städte ein unterschied
ch_gr_0950.wav	die erde gilt als der blaue planet	die erne gilt herzlich blaue palliate
ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich spreche darauf ein darauf
ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite sowieso ungejährig zu sagen
ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es haben immer in den vier prämienverschiedenen gesetzen
ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat dieszuhaus im groben beziehungsweise gezert
ch_gr_0980.wav	der prozess dauerte mehrere tage	die repräzise sind ihre teile dauert
ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	das lex ist man doch notieren gesehen
ch_be_2539.wav	alter freund du schläfst jetzt ein	eldefremd schlächst jetzt ein
ch_zh_3308.wav	es bat um eine verlängerung der frist	es hätte auf einer verlängerung der freispatten
ch_vs_1173.wav	am morgen haben wir nebel über basel	in ihrer reihe nach ihrem passenden
ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	das hat ein bisschen der worme asfert geregnet
ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das wäre ein reiches für unser kindes unergangen
ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle zählen ein laub gefördert
ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür ist es nicht zu lässig
ch_vs_1833.wav	leichter regenschauer und windig	leistungen ebenfalls und linder
ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	aber wenn dies dächtig noch etwas übertrieben sind
ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese haben extern sämtlichheit den zuschlag erhalten
ch_be_2701.wav	er umarmt sie fest	am montag haben wir gefesst
ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	mit den tagendkapierten wir ihnen gesagt
ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es sich bei grösseren wohlkrecken
ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	ich habe es einen allgemeinen unterbrauch
ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen gitte schwieriger jetzt äusserst wir
ch_ag_0606.wav	wie oft haben sie mit ihr schon über die schweiz gesprochen	auch aufgangslagen lehnen sie es eben zu heute gegeben
ch_gr_2171.wav	highlight der ausstellung sind die sensen	ein heilheit für die ausstellung sind zu senden
ch_sg_2528.wav	du schielst tatsächlich ein bisschen	wir sind uns tatsächlich ein gipfeli
ch_sg_2448.wav	er hasste es zu niesen	er hat kein kister zu müssen
ch_zh_2014.wav	was bedeutet das konkret	was heisst ins konkret
ch_zh_1052.wav	der apfel kann vielseitig eingesetzt werden	terpfen kann viel süder eingesetzt werden
ch_gr_1493.wav	die kleine kammer setze falsche prioritäten	dort haben wir es setzt die fehlzeugieritäten
ch_sg_2666.wav	stell dir vor ich stürze	das stdefin ist direkt
ch_bs_1856.wav	wie hoch ist das schauerrisiko heute	wie hoch ist die sammleisung heute
ch_gr_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	sondern studierende käfer zusammen
ch_ag_1719.wav	sie wendet sich um und blickt hinunter auf die stadt	sie tret sich um die bkw auf die stadt
ch_sg_2717.wav	seine oberfläche war uneben	seien wir das vielleicht für unsere universität waren
ch_lu_0503.wav	die trikots wurden von gonzo geklaut	die libe sind vom ganzen gefährd worden
