id	target_txt	prediction
3234  78a18f41-8373-45eb-b583-520ebe68d26f.flac	das gesetz hat sich grundsätzlich sehr bewährt	das gesetz hat sich grundsätzlich sehr bewährt
3209  2c893e6e-48f0-4d24-b1df-98063cce58ee.flac	das hat auch mit solidarität zu tun	es hat auch mit solidarität zu tun
1037  141bdd79-4f6a-4f29-b2e5-a614b6d04255.flac	leider funktioniert das nur bedingt	leider funktioniert dann nur bedingt
1700  c1549921-6122-4884-b22e-6d6eae4b704a.flac	da braucht es mehrere tage intensivste regenfälle	aber es braucht mehrere tage intensiveste regenfälle
743  ea360277-78df-4e4e-9726-84fe201d969a.flac	deshalb ist punkt 2c auch erfüllt	deshalb ist zweit auch erfüllt
1378  5fbac2f4-dd5c-45a4-9eec-84592940e212.flac	das sollten wir wirklich beibehalten	deshalb sollten wir wirklich beibehalten
3297  b04b22ef-25f9-453e-a1dc-c168094a25f3.flac	es ist klar dass es ein zeichen ist	es ist klar dass es zeichen ist
682  62ad537e-32f5-4a3f-b6c8-b75aefef537c.flac	er sei billiger ortsverträglicher	sie soll williger ortsverträglicher
1393  89a134f4-353f-4495-8699-dc23994d2846.flac	das vorgehen hat sich sicher bewährt	das vorgehen hat sich sicher eben bewährt
1116  8938cceb-430a-4dc3-9ca6-ded33e971427.flac	das sind minimale ansprüche	dies sei minimale ansprüche
439  b3c78a78-6980-443f-ad06-7020f8dda179.flac	die medienpolitik war auch ein grosses thema	die medienpolitik ist auch ein grosses thema
3076  362e58d2-1193-4a08-8438-9b02074630e8.flac	wir finden das sei die falsche flughöhe	wir finden das ist falsche flughöhe
2381  146aad31-6f98-44a5-9847-e3ede62793d4.flac	es ist ein kleiner aufwand mit grosser wirkung	es ist kleiner aufwand und grosse wirkung
1785  b2641872-afd3-4f25-ac9c-92a7020772d1.flac	daher unterstützen wir den antrag	daher unterstützen wir den antrag
2075  fe58a550-c14c-4476-b018-b24dd76b143e.flac	die gesellschaft ist im wandel begriffen	die gesellschaft ist im wandel zu geben
2849  1df83feb-4208-4a8b-9873-1aff7a84fd23.flac	irgendetwas stimmt dort im verhältnis nicht	irgendetwas stimmt dort im verhältnis nicht
1908  fa8843f7-4d22-4dac-b684-b71f539b8379.flac	das gehört für uns ebenso zur unterstützung	das kämpfen für uns eben so zur unterstützung
1014  080d3c77-1e57-42c5-a429-f8384423d789.flac	ich fasse mich deshalb relativ kurz	ich fasse mich deshalb relativ kurz
