id	target_txt	prediction
ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten kennen es in sachen gemeinden
ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	die rückweisung von ihnen haben sie offengelassen
ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagen bis am ausstand
ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	zur kirche habe ich genügend erwähnt unsere begörden
ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im welchen steckt eine berggrössere woche
ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	für 60 merken das ist täglich enttraut
ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	ein mitfach ist die wetterläge nach onlineklar
ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brückt eine fahrmage zu einem fast tritten werden
ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die schweizerische reihen und achtbarkeit
ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der ferienbeherkbar
ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind entsteht ein unterschied
ch_gr_0950.wav	die erde gilt als der blaue planet	die arbeit geht gemäss für bauprojekte
ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich lehne den rückweisungsantrag ab
ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	stiegen sie wieso umgang mit sorgen
ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	wir haben immer in den vielen problemen gesetzt
ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	ara dieszu haus im grundbeziehungsweise das erd
ch_gr_0980.wav	der prozess dauerte mehrere tage	die problematik ist ihre tochter nicht
ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	dies lexus man durch motiviert sehen ende
ch_be_2539.wav	alter freund du schläfst jetzt ein	dieses recht hat es ein
ch_zh_3308.wav	es bat um eine verlängerung der frist	es wäre auch für eine verlängerung der fristbacken
ch_vs_1173.wav	am morgen haben wir nebel über basel	deshalb reihe ich an dieser stelle beraten
ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	das haben ein gewisses problem inhasfonds geregelt
ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das haben wir einfach ein kind und ergebnis
ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle gesehen massiv land gefehlt
ch_sg_2499.wav	dafür rieche ich nach schweisse	ich habe eigentlich ausgemessen
ch_vs_1833.wav	leichter regenschauer und windig	gleichgetage für unglündige
ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	er will eine stärkung ein bisschen überträgen scheinen
ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	hingegen erhält der zuschlag erhalten
ch_be_2701.wav	er umarmt sie fest	der regierungsrat wird verfasst
ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	gegen die argumentation hat es gesagt
