id	target_txt	prediction
1509  common_voice_sv-SE_18847705	Us or the competition.	You don’t need to insist.
723  common_voice_sv-SE_19475976	I also have a dog.	Lets start our own, together.
1504  common_voice_sv-SE_18847696	Well they can’t manufacture anything.	Can you get the phone out for me?
1103  common_voice_sv-SE_18858828	Have you experienced it before?	No, I don’t want to taste.
1202  common_voice_sv-SE_18797088	Am i getting this right?	Do you have a solid line?
419  common_voice_sv-SE_18762822	We have a guest speaker.	I’m going to the police.
1559  common_voice_sv-SE_18858223	No, I have football practice.	When I was little I knew a girl.
1580  common_voice_sv-SE_18858782	I could have been dead now.	Oh my God, what happened?
1049  common_voice_sv-SE_18858730	Do you have a dog?	He isn’t police, but they say he’s good.
1476  common_voice_sv-SE_18847642	I’ve been fired.	When was the last time you saw then?
1213  common_voice_sv-SE_18770429	I didn’t have a choice.	Not that you would turn on.
703  common_voice_sv-SE_19758216	It was grandpas.	Are you like that?
1593  common_voice_sv-SE_18858805	I hit a guy with a water can!	When I was little I knew a girl.
1510  common_voice_sv-SE_18847708	It is up to you.	You don’t need to insist.
1001  common_voice_sv-SE_18853079	Let’s order dessert.	But still, I did not walk away empt.
37  common_voice_sv-SE_19878008	But how do we find it?	I don’t want that!
606  common_voice_sv-SE_19354342	Thanks mother fucker	It is so awkward.
938  common_voice_sv-SE_19932446	I’m bothering you.	Did you hear that?
585  common_voice_sv-SE_19354301	What happened?	Do you want a beer?
70  common_voice_sv-SE_19380483	Easy to hide.	That is my line.
948  common_voice_sv-SE_18852852	Like my mother.	Do you want to see?
1376  common_voice_sv-SE_20021360	And right then.	How did you feel today?
999  common_voice_sv-SE_18853077	But isn’t it easier now?	Yes, we girls would really want that.
8  common_voice_sv-SE_19130618	Take it down, now!	Don’t think about it.
953  common_voice_sv-SE_18852857	What a night for you.	But it is over now.
789  common_voice_sv-SE_19623825	We will solve it.	What’s that?
969  common_voice_sv-SE_18852879	We have been together for seven years.	We have to fix this so we can.
1573  common_voice_sv-SE_18858770	No, you’re going home.	You don’t have to go.
1592  common_voice_sv-SE_18858804	Let’s go look around.	A photo of me in London!
1316  common_voice_sv-SE_18775049	You should stay away!	When I leave to find so.
89  common_voice_sv-SE_18850261	We can not hear anything.	Let me go home.
1491  common_voice_sv-SE_18847657	Do you need a little help?	That is all!
88  common_voice_sv-SE_18850260	There are two.	What do you know about women?
1513  common_voice_sv-SE_18847711	Take your time.	You don’t need to insist.
1549  common_voice_sv-SE_18851023	You have a mission to accomplish.	He tipped off the police.
1539  common_voice_sv-SE_18847870	Don’t talk crap!	Take it easy!
1528  common_voice_sv-SE_18847854	Push the bastard!	You don’t have any!
1527  common_voice_sv-SE_18847853	And yourself?	But what dest have?
1526  common_voice_sv-SE_18847852	Can I have his address?	Can I get weapons?
591  common_voice_sv-SE_19354323	But that doesn’t matter.	Don’t be mad at me.
1312  common_voice_sv-SE_18775044	It wasn’t possible.	What did you linke?
1157  common_voice_sv-SE_18780612	That is good!	Can I get weapons?
1304  common_voice_sv-SE_18775036	But it is okay.	What are you going?
209  common_voice_sv-SE_18748672	Dig me up.	Go to school.
421  common_voice_sv-SE_18762824	Go to his classroom.	Don’t fight it.
1109  common_voice_sv-SE_18746424	Me too.	Can I get weapons?
1095  common_voice_sv-SE_18858819	I stole everything you own.	Your butler will should be the way.
1201  common_voice_sv-SE_18797087	He is having a baby.	You know she drugged me.
1094  common_voice_sv-SE_18858818	Yes, I probably will.	Yes, I think it loosened.
1072  common_voice_sv-SE_18858778	So what are you going to do after death?	The government who beat our chief?
1062  common_voice_sv-SE_18858756	I made him call you.	We can’t risk him recognizing you.
1266  common_voice_sv-SE_18774998	Are you done?	Do you want in?
1221  common_voice_sv-SE_18770437	That was a lie.	Maybe we should redeem it.
892  common_voice_sv-SE_19589169	Can you believe it?	You can have candy!
213  common_voice_sv-SE_18748676	Apparently not.	Look what happened!
1015  common_voice_sv-SE_18854188	Another message.	You can only carry her.
59  common_voice_sv-SE_19071112	Come on, let's go!	Don’t make it up.
692  common_voice_sv-SE_19758160	Just ask nicely.	Look what happened!
1485  common_voice_sv-SE_18847651	Should I turn on the TV for you?	She is not social.
1252  common_voice_sv-SE_18774967	And it probably hurts you.	Come on, let’s leave.
1430  common_voice_sv-SE_20021643	What now?	What was it?
385  common_voice_sv-SE_18736941	They’re just figs.	Don’t count me in.
1163  common_voice_sv-SE_18780622	You are so crazy.	Damn, that is the police.
1159  common_voice_sv-SE_18780616	Can you open it?	Do you want in?
1246  common_voice_sv-SE_18770484	That is what I want.	Can you get the phone out for me?
647  common_voice_sv-SE_18754023	It was nice.	And live well.
1141  common_voice_sv-SE_18746552	Where is the dude?	What is this mad?
1229  common_voice_sv-SE_18770445	But do it quickly.	You can die for it.
1130  common_voice_sv-SE_18746513	I am sorry, okay?	Can you get the phone?
1575  common_voice_sv-SE_18858772	Do you see how you’re talking to me?	Listen to the signals!
1260  common_voice_sv-SE_18774992	Dead or alive.	No, I want to go.
1195  common_voice_sv-SE_18780679	Why would they?	Do you have a solid line?
1228  common_voice_sv-SE_18770444	I hope you understand.	You know the president is coming?
1127  common_voice_sv-SE_18746500	You were my best friend.	Because I insulted your friend?
1237  common_voice_sv-SE_18770459	I don’t like it.	Do not leave us in the dark.
1220  common_voice_sv-SE_18770436	Nice and easy.	You can only carry her.
1293  common_voice_sv-SE_18775025	Your are welcome, dear.	Let me go home.
901  common_voice_sv-SE_19589178	We will fix that.	What is this?
1315  common_voice_sv-SE_18775048	It looks like him.	What do you mean?
1299  common_voice_sv-SE_18775031	Let me handle it.	You can only carry her.
1555  common_voice_sv-SE_18851029	Despite me calling.	This one is good.
993  common_voice_sv-SE_18853069	We can manage everything!	We’re in the middle of the game.
991  common_voice_sv-SE_18853067	Because I’m not thinking that either.	They will love the massage.
984  common_voice_sv-SE_18852934	Your little thing is a hit.	Is the old fridge broken?
709  common_voice_sv-SE_19758226	What does she want?	Do you like that?
955  common_voice_sv-SE_18852859	This is how we do.	Look at the seams.
712  common_voice_sv-SE_19758269	We’ve dreamt something up.	We’re just giving you attention.
983  common_voice_sv-SE_18852933	It is my last meal.	I didn’t want to ruin your nice entry.
979  common_voice_sv-SE_18852929	Another person called.	They don’t grow on trees.
684  common_voice_sv-SE_19758124	I don’t care!	I know as much as you.
1462  common_voice_sv-SE_18847618	He is home!	Here time.
1405  common_voice_sv-SE_20021460	Cancel.	You don’t have anything.
1326  common_voice_sv-SE_18775059	I didn’t do anything.	When did you leave?
181  common_voice_sv-SE_18713028	Thanks, darling.	Let’s sleep now.
1311  common_voice_sv-SE_18775043	Damn you!	Is everything okay?
1227  common_voice_sv-SE_18770443	Don’t be stupid.	Do not leave us in the dark.
1241  common_voice_sv-SE_18770474	Why did you sat that?	You can die for it.
1291  common_voice_sv-SE_18775023	It’s a personal matter.	Can you get the phone out for me?
