id	target_txt	prediction
621  ch_gr_1468.wav	weshalb haben sie eigentlich deutschland im auge	in der schweizerinnen unterstützen
558  ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	in der schweizerinnen unterstützen
1651  ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	sie haben sich auch nicht einfach sein
2272  ch_lu_0513.wav	positiv für geldbeutel und umwelt	das ist nicht mehr auf diesem anderen
234  ch_vs_2693.wav	ich trank noch ein glas	sie haben sich auch nicht mehr
1526  ch_ag_0950.wav	die erde gilt als der blaue planet	die grundsätzlich nicht mehr
1253  ch_sg_2501.wav	nicky rollte sich auf die seite	sie haben sich auch nicht mit der schweiz
1391  ch_sg_2675.wav	du tanzt so leicht wie eine feder	sie haben sich auch nicht auf die schweizer
1480  ch_sg_0924.wav	videoconferencing boomt	sie haben diesen auch nicht mehr
2123  ch_lu_1780.wav	ich kehre laub immer nur ende herbst	das ist nicht mehr allerdingen
1820  ch_bs_1499.wav	seit zehn jahren ist sie konstant	die schweizerischen wirklich nicht
92  ch_vs_0862.wav	gefeit vor krisen ist niemand	die schweizerinnen sind nicht mehr
1577  ch_ag_0428.wav	sie blüht dort von februar bis märz	sie haben sich auch nicht mit der schweizer
156  ch_vs_2494.wav	ich bin nur so gerannt um dich einzuholen	sie haben sich auch nicht auf die schweizer
1926  ch_bs_2409.wav	dann rufst du einfach laut nach mir	die schweizerinnen und schweizer
226  ch_vs_2678.wav	ich fürchte dass er euch täuscht	auch die schweizerischen
673  ch_gr_1523.wav	allerdings ist sie nicht selbstverständlich	sie haben sich auch nicht auf die schweiz
1756  ch_ag_2207.wav	ich starre in die weiten des ozeans	in der schweizerinnen unterstützen
1320  ch_sg_0063.wav	das auto rast durch die nacht	die grundsätzlich nicht
1840  ch_bs_0221.wav	aber er widersprach auch nicht	das ist nicht mehr auch nicht mehr
365  ch_be_2702.wav	wir umarmen uns fest	wir haben auch nicht mehr
1377  ch_sg_1142.wav	sonst ist es dann morgen wieder trocken	sie haben sich auch nicht mehr aus
803  ch_gr_1849.wav	drohnen vermessen die schneedicke	sie haben sich auch nicht geschäft
571  ch_gr_1723.wav	er warf die flasche zur seite	sie haben sich auch nicht geschlagen
1578  ch_ag_2559.wav	arbeitest du überhaupt genug schnell für diesen job	sie haben sich die schweizerischen
2240  ch_lu_1181.wav	guten abend willkommen beim meteo	die grundsätzlich nicht mehr
1722  ch_ag_2601.wav	ich wohne in einem kleinen hotel und erhole mich	in der meinung der schweizerinnen
302  ch_be_2477.wav	er trank bier und rauchte	die grundsätzlich gehört werden
2066  ch_lu_2505.wav	dann rülpste er gewaltig und kicherte darüber	in der schweizerinnen und schweiz
2067  ch_lu_0474.wav	wochentags werden eher frühstücksflocken zum frühstück serviert	sie haben sich die schweizerigen
1723  ch_ag_2629.wav	auf diese weise sparst du jede menge zeit	das ist nicht mehr auf die schweizer
837  ch_zh_3686.wav	wir waren total erstaunt über lena'	in der schweizerinnen und schweizer
1535  ch_ag_1864.wav	auf zweitausend metern elf grad	in der schweizer wirklich auch nicht
1895  ch_bs_1698.wav	hommes bereitet schon das haus vor	das ist nicht mehr allerdingen
939  ch_zh_2758.wav	doch es kam anders<<unk>>nein ''	das ist nicht mehr allerdingen
2113  ch_lu_1838.wav	am abend klar mit wenigen wolken	die grundsätzlich nicht mehr
1100  ch_zh_0410.wav	heute ist davon kaum noch etwas zu sehen	das ist nicht mehr auch nicht gesagt
1426  ch_sg_2261.wav	du malst das ja sehr bunt aus	das ist nicht mehr auf die schweizer
53  ch_vs_2695.wav	aber vielleicht ist es tatsächlich übertrieben	die schweizerischen schwierigen
1209  ch_zh_2953.wav	die zahl der betroffenen schwankt	die schweizerinnen und schweizer
1747  ch_ag_2588.wav	sie war ausgeruht hungrig glücklich	sie haben sich auch nicht mit der schweiz
2069  ch_lu_1018.wav	diese volksbräuche sind europaweit verbreitet	sie haben diese motion angenommen
2022  ch_bs_0384.wav	dies ist wichtig bei enteignungen	auch die schweizerinnen und schweiz
819  ch_gr_2561.wav	eine alte frau schrie auf	die grundsätzlich nicht mehr
1715  ch_ag_1888.wav	am abend nicht ganz wolkenlos	die schweizerinnen und schwierigen
1613  ch_ag_2639.wav	ich spüre seine starke präsenz	das ist nicht mehr auf diesem schweiz
2210  ch_lu_1542.wav	ist das illusion oder notwendigkeit	sie haben wir diesen auch nicht einfach
817  ch_gr_2207.wav	ich starre in die weiten des ozeans	sie haben diese antworten
2023  ch_bs_2587.wav	doch sein kopf war ausgeruht	sie haben sich auch nicht auf die schweizer
