id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	zu begleitend gehen wir es ins assen gemeinden
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	durchaus folgen ich hätte diese offengelassen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der universität gehen ausschuss tagne bis als selbst
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	die regierung hat genug einen verzichtungsrebegörten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	denn welches gibt es bergrössene wohenepfen
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	zu sachen sie hätten dieses taglichen traut
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	alle mindwoch ist die watträgliche ungewährt
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	die rücktrafahnen zu einem fast hingewerbe
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die scheitsverstiebung sind freien und dachbarkeit
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	eine mochenheit möchte ich gefährlin beherkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind spitzes unterschied
298  ch_gr_0950.wav	die erde gilt als der blaue planet	er gibt also plaut nicht
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	wir sprechen den einreichen danach auf
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich steige sowieso umgehene sargen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es geht immer bei den vielen präminanzsätzen
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	hinzu gibt es haus im grundbeziehungsdizirt
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess regierungsrat dauert
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	das letzte man doch knutti gesehen hat
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	helten freut dieser schleft ein
532  ch_zh_3308.wav	es bat um eine verlängerung der frist	das hätte nach einer verlängerung der fristbetten
136  ch_vs_1173.wav	am morgen haben wir nebel über basel	die motion haben wir natürlich passen
506  ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	das haben es gibt sich bewährmiasfeld geregnet
1237  ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das würden wir ein kindes und mehr gegen
788  ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle zusammen ein laub gefährden
920  ch_sg_2499.wav	dafür rieche ich nach schweisse	der verkehrsmittlich als wässe
107  ch_vs_1833.wav	leichter regenschauer und windig	recht tragenfälle und lindig
28  ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	wir haben es dachtlich nur leben zu übertreben sein
556  ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	sie haben es amtlich haben dazu erstagen erhalten
182  ch_be_2701.wav	er umarmt sie fest	aber nachher fest
949  ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	guten tagnetfapp lehrtenwolf gesagt
1289  ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wall es gibt es sich bei greissen evolklegen
1298  ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	ich habe es einen allgemein dunkenblau grau
641  ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen einen gittenschwinigen jetzt aushalb wir
1066  ch_ag_0606.wav	wie oft haben sie mit ihr schon über die schweiz gesprochen	ich hoffe ganz sind wir gerade eben zurückgelegen
398  ch_gr_2171.wav	highlight der ausstellung sind die sensen	heilheit der ausstellungsinzen
734  ch_sg_2528.wav	du schielst tatsächlich ein bisschen	zuerst tätsächlich ein tipfel
746  ch_sg_2448.wav	er hasste es zu niesen	platz kasten zu müssen
559  ch_zh_2014.wav	was bedeutet das konkret	das heisst das kredit
443  ch_zh_1052.wav	der apfel kann vielseitig eingesetzt werden	dort funktion viel suber eingesetzt werden
392  ch_gr_1493.wav	die kleine kammer setze falsche prioritäten	den treib haben wir setzt die fälle eine geeeritäte
939  ch_sg_2666.wav	stell dir vor ich stürze	das gdpfraktion ist direkt
1135  ch_bs_1856.wav	wie hoch ist das schauerrisiko heute	ich hoch ist sammer wie sie heute
326  ch_gr_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	darum stutzen wir keinen käfer gezählen
974  ch_ag_1719.wav	sie wendet sich um und blickt hinunter auf die stadt	sie geht sich um und blettfeben auf die stadt
717  ch_sg_2717.wav	seine oberfläche war uneben	wir sind auch das nächste fehlen
1312  ch_lu_0503.wav	die trikots wurden von gonzo geklaut	die liegen sind vom ganzen gefährd wurde
567  ch_zh_3861.wav	der deutsche kaiser war hocherfreut	bedeutet waren es volle freude gewesen
458  ch_zh_1873.wav	zeitweise hat es dichtere schleierwolken	teilweise hat es dichtlich schleuerwöhen
1233  ch_lu_0925.wav	im nächsten jahr soll handtracking hinzukommen	ich möchte sie hand keine kinder zukommen
