id	target_txt	prediction
332  ch_gr_1247.wav	sie begleiten die gefängnisinsassen gemeinsam	sie begleiten die gefängnisinsassen gemeinsa
378  ch_gr_1693.wav	du kommst von oben rein ich habe die tür auf gelassen	du kommst von oben rein ich habe die tür aufgelassen
331  ch_gr_1290.wav	der unescoausschuss tagt noch bis zum samstag	der unescoausschuss tagt noch bis am samstag
1291  ch_lu_0675.wav	seit vier jahren hat mona vetsch einen schrebergarten	seit vier jahren hat mona vetsch einen schrebergarten
279  ch_be_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es einige grössere wolkenlücken
1006  ch_ag_2370.wav	sie arbeitet sehr hart für ihr täglich brot	sie arbeitet sehr hart für ihr täglich
223  ch_be_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	am mittwoch ist die wetterlage nach eine unklar
425  ch_zh_2956.wav	brugg darf auch einmal zur festhütte werden	brückt der fehlmal zu einer festhalten werden
1299  ch_lu_0305.wav	schweizer stil mit schnitzereien am dachbalken	die schweizer stil mit schnitzereien am dachbalken
146  ch_vs_1198.wav	am wochenende macht sich der frühling bemerkbar	am wochenende macht sich der frühling bemerkbar
1275  ch_lu_2048.wav	ein zusätzliches problem sind die speziesunterschiede	ein zusätzliches problem sind die spitze sonderschritte
298  ch_gr_0950.wav	die erde gilt als der blaue planet	die erde gilt als der blaue planet
979  ch_ag_0639.wav	ich bringe dir wein und kuchen mach auf	ich bringe dir wein und kuchen mach auf
118  ch_vs_2651.wav	ich streite mich ohnehin ungern mit zwergen	ich streite sowieso umgern mit zwergen
435  ch_zh_3309.wav	es zog auch immer wieder viel prominenz an	es hat auch immer wieder viele probleme zu angezogen
396  ch_gr_2617.wav	er hat uns das haus in groben zügen skizziert	er hat uns das haus in groben zügen skizziert
383  ch_gr_0980.wav	der prozess dauerte mehrere tage	der prozess dauerte mehrere tage
876  ch_sg_1768.wav	du schmeisst mir doch nicht die tür zu oder	du schmeisst mir doch nicht die tür zu oder
211  ch_be_2539.wav	alter freund du schläfst jetzt ein	alter freund du schläfst jetzt ein
532  ch_zh_3308.wav	es bat um eine verlängerung der frist	es batte nach einer verlängerung der frist
136  ch_vs_1173.wav	am morgen haben wir nebel über basel	am morgen haben wir nebel über basel
506  ch_zh_2412.wav	es regnete leicht auf den warmen asphalt	es hatte ein bisschen auf den warmen asphalt
1237  ch_lu_0064.wav	das mit den reifen war eine kindische racheaktion	das wird am reifen war ein kindisches umgeben
788  ch_sg_1779.wav	wir werden alle zusammen das laub gekehrt haben	wir werden alle zusammen das laub gekehrt haben
920  ch_sg_2499.wav	dafür rieche ich nach schweisse	dafür rieche ich nach schweisse
107  ch_vs_1833.wav	leichter regenschauer und windig	leichter regenfall und windig
28  ch_vs_2697.wav	aber das dürfte doch wohl etwas übertrieben sein	aber das dürfte doch wohl etwas zu übertrieben sein
556  ch_zh_3322.wav	diese erhielt schliesslich auch den zuschlag	diese erhielte schlussendlich auch den zuschlag
182  ch_be_2701.wav	er umarmt sie fest	er umarmt sie fest
949  ch_ag_0629.wav	guten tag rotkäppchen sagte der wolf	guten tag rotkäppchen sagte der wolf
1289  ch_lu_1219.wav	im wallis gibt es ein paar grössere wolkenlücken	im wallis gibt es ein paar grössere wolkenlücken
1298  ch_lu_0488.wav	das gefieder ist allgemein dunkel blaugrau	die feder ist in allgemein dunkelbaugrau
641  ch_zh_3096.wav	sie beanspruchen deutlich weniger ressourcen als wir dies tun	sie brauchen deutlich weniger ressourcen als mir
1066  ch_ag_0606.wav	wie oft haben sie mit ihr schon über die schweiz gesprochen	wie oft haben sie mit ihr schon über die schweiz geredet
398  ch_gr_2171.wav	highlight der ausstellung sind die sensen	highlight der ausstellung sind die sensen
734  ch_sg_2528.wav	du schielst tatsächlich ein bisschen	du schielst tatsächlich ein bisschen
746  ch_sg_2448.wav	er hasste es zu niesen	er hasste es zu niesen
559  ch_zh_2014.wav	was bedeutet das konkret	was heisst das konkret
443  ch_zh_1052.wav	der apfel kann vielseitig eingesetzt werden	der öpfel kann vielseitig eingesetzt werden
392  ch_gr_1493.wav	die kleine kammer setze falsche prioritäten	die kleinkamer setzt falsche prioritäten
939  ch_sg_2666.wav	stell dir vor ich stürze	stell diese vor ist die türze
1135  ch_bs_1856.wav	wie hoch ist das schauerrisiko heute	wie hoch ist das schweizer risiko heute
326  ch_gr_2570.wav	schrumpfst du zu einem kleinen käfer zusammen	schrumpfst du zu einem kleinen käfer zusammen
974  ch_ag_1719.wav	sie wendet sich um und blickt hinunter auf die stadt	sie trägt sich um und blickt hinunter auf die stadt
717  ch_sg_2717.wav	seine oberfläche war uneben	seine oberfläche war uneben
1312  ch_lu_0503.wav	die trikots wurden von gonzo geklaut	die live wurden von gonzo geklaut
567  ch_zh_3861.wav	der deutsche kaiser war hocherfreut	der deutsche keine war hochenfreude
458  ch_zh_1873.wav	zeitweise hat es dichtere schleierwolken	die teilweise hat es dichtere schleierwolken
1233  ch_lu_0925.wav	im nächsten jahr soll handtracking hinzukommen	in nächsten jahren haben die schweiz gekommen
1223  ch_lu_1187.wav	ab mittwoch ist die wetterlage noch etwas unklar	aber mittwoch ist die wetterlage noch unklar
465  ch_zh_2413.wav	kurz vor weihnachten schneite es leicht	kurz vor weihnachten hat es etwas geschneit
1254  ch_lu_2458.wav	irgendjemand pfuscht mir hier ins handwerk	irgendjemand findet man hier ins handwerk
338  ch_gr_0171.wav	jetzt hab ich dich du alter sünder	jetzt hab ich dich du alter sünder
350  ch_gr_1527.wav	aber alle haben dieselben sorgen	aber alle haben dieselben sorgen
379  ch_gr_1687.wav	und jetzt stopft er sich mit fleisch voll	und nun stoppt er sich mit fleisch voll
998  ch_ag_0598.wav	die sechsunddreissig jährige greta gysin zieht ins parlament ein	die sechsunddreissig jährige sind ein parlament ein
1313  ch_lu_2472.wav	meine güte roch der arme ranzig aus dem mund	gott schmeckte er allem ranzig aus dem mund
774  ch_sg_2648.wav	geliehen hab ich es nicht gestohlen	ich hab es ausgelehnt nicht gestohlen
119  ch_vs_0046.wav	ich zog mich also vor dem arzt aus	ich zog mich also vor dem arzt aus
153  ch_vs_1991.wav	es ist immer teil von machstrukturen	es ist immer teil der machtstruktur
79  ch_vs_0693.wav	das geheimrezept wildblumen	das geheimrezept wildblumen
53  ch_vs_0268.wav	also drei grad mehr als heute	also drei grad mehr von heute
403  ch_gr_1861.wav	lockerschnee weisst eine extrem geringe dichte auf	lockerschnee hat eine extrem geringe wichtig
708  ch_sg_1034.wav	seitdem ist der ort selbstständig	seitdem ist der ort selbstständig
227  ch_be_2673.wav	aber ich tanze nicht nach deiner pfeife	aber ich tanze nicht nach deiner pfeife
309  ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	ja ich glaube jetzt habe ich das verstanden
951  ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	allerdings sind nicht selbstverständlich
931  ch_sg_0924.wav	videoconferencing boomt	videokonferenzen baumt
135  ch_vs_2693.wav	ich trank noch ein glas	ich trank noch ein glas
842  ch_sg_2675.wav	du tanzt so leicht wie eine feder	du tanzt so leicht wie ein feder
