id	target_txt	prediction
621  ch_gr_1468.wav	weshalb haben sie eigentlich deutschland im auge	weshalb haben sie eigentlich deutschland im auge
558  ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	ja ich glaube jetzt habe ich das verstande
1651  ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	allerdings ist sie nicht selbstverständlich
2272  ch_lu_0513.wav	positiv für geldbeutel und umwelt	positiv für geldbeutel und umwelt
234  ch_vs_2693.wav	ich trank noch ein glas	ich trank noch ein glas
1526  ch_ag_0950.wav	die erde gilt als der blaue planet	die erde gilt als der blaue planet
1253  ch_sg_2501.wav	nicky rollte sich auf die seite	nicky rollte sich auf die seite
1391  ch_sg_2675.wav	du tanzt so leicht wie eine feder	du tanzt so leicht wie eine feder
1480  ch_sg_0924.wav	videoconferencing boomt	videoconferencing boomt
2123  ch_lu_1780.wav	ich kehre laub immer nur ende herbst	ich kehre laub immer nur ende herbst
1820  ch_bs_1499.wav	seit zehn jahren ist sie konstant	seit zehn jahren ist sie konstant
92  ch_vs_0862.wav	gefeit vor krisen ist niemand	gefeit vor krisen ist niemand
1577  ch_ag_0428.wav	sie blüht dort von februar bis märz	sie blüht dort von februar bis märz
156  ch_vs_2494.wav	ich bin nur so gerannt um dich einzuholen	ich bin nur so gerannt um dich einzuholen
1926  ch_bs_2409.wav	dann rufst du einfach laut nach mir	dann rufst du einfach laut nach mir
226  ch_vs_2678.wav	ich fürchte dass er euch täuscht	ich fürchte dass er euch täuscht
673  ch_gr_1523.wav	allerdings ist sie nicht selbstverständlich	allerdings ist sie nicht selbstverständlich
1756  ch_ag_2207.wav	ich starre in die weiten des ozeans	er starrte sie dauernd und lange
1320  ch_sg_0063.wav	das auto rast durch die nacht	das auto rast durch die nacht
1840  ch_bs_0221.wav	aber er widersprach auch nicht	aber er widersprach auch nicht
365  ch_be_2702.wav	wir umarmen uns fest	wir umarmen uns fest
1377  ch_sg_1142.wav	sonst ist es dann morgen wieder trocken	sonst ist es dann morgen wieder trocken
803  ch_gr_1849.wav	drohnen vermessen die schneedicke	drohnen vermessen die schneedicke
571  ch_gr_1723.wav	er warf die flasche zur seite	er warf die flasche zur seite
1578  ch_ag_2559.wav	arbeitest du überhaupt genug schnell für diesen job	arbeitest du überhaupt genug schnell für diesen job
2240  ch_lu_1181.wav	guten abend willkommen beim meteo	guten abend willkommen beim meteo
1722  ch_ag_2601.wav	ich wohne in einem kleinen hotel und erhole mich	ich wohne in einem kleinen hotel und erhole mich
302  ch_be_2477.wav	er trank bier und rauchte	er trank bier und rauchte
2066  ch_lu_2505.wav	dann rülpste er gewaltig und kicherte darüber	dann rülpste er gewaltig und kicherte darüber
2067  ch_lu_0474.wav	wochentags werden eher frühstücksflocken zum frühstück serviert	wochentags werden eher frühstücksflocken zum frühstück serviert
1723  ch_ag_2629.wav	auf diese weise sparst du jede menge zeit	auf diese weise sparst du jede menge zeit
837  ch_zh_3686.wav	wir waren total erstaunt über lena'	wir waren total erstaunt über lena'
1535  ch_ag_1864.wav	auf zweitausend metern elf grad	auf zweitausend metern elf grad
1895  ch_bs_1698.wav	hommes bereitet schon das haus vor	hommes bereitet schon das haus vor
939  ch_zh_2758.wav	doch es kam anders<<unk>>nein ''	doch es kam anders<unk>nein ''
2113  ch_lu_1838.wav	am abend klar mit wenigen wolken	am abend klar mit wenigen wolken
1100  ch_zh_0410.wav	heute ist davon kaum noch etwas zu sehen	heute ist davon kaum noch etwas zu sehen
1426  ch_sg_2261.wav	du malst das ja sehr bunt aus	du malst das ja sehr bunt aus
53  ch_vs_2695.wav	aber vielleicht ist es tatsächlich übertrieben	aber vielleicht ist es tatsächlich übertrieben
1209  ch_zh_2953.wav	die zahl der betroffenen schwankt	die zahl der betroffenen schwankt
1747  ch_ag_2588.wav	sie war ausgeruht hungrig glücklich	sie war ausgeruht hungrig glücklich
2069  ch_lu_1018.wav	diese volksbräuche sind europaweit verbreitet	diese volksbräuche sind europaweit verbreitet
2022  ch_bs_0384.wav	dies ist wichtig bei enteignungen	dies ist wichtig bei enteignungen
819  ch_gr_2561.wav	eine alte frau schrie auf	eine alte frau schrie auf
1715  ch_ag_1888.wav	am abend nicht ganz wolkenlos	am abend nicht ganz wolkenlos
1613  ch_ag_2639.wav	ich spüre seine starke präsenz	ich spüre seine starke präsenz
2210  ch_lu_1542.wav	ist das illusion oder notwendigkeit	ist das illusion oder notwendigkeit
817  ch_gr_2207.wav	ich starre in die weiten des ozeans	ich starre in die weiten des ozeans
2023  ch_bs_2587.wav	doch sein kopf war ausgeruht	doch sein kopf war ausgeruht
1713  ch_ag_0228.wav	du hast mir damals alles weg gegessen	du hast mir damals alles weg gegessen
2282  ch_lu_0467.wav	der friseur steht beim waschen hinter ihm	der friseur steht beim waschen hinter ihm
560  ch_gr_1864.wav	auf zweitausend metern elf grad	auf zweitausend metern elf grad
1422  ch_sg_1754.wav	unglaublich er zerpflückt dich ja	unglaublich er zerpflückt dich ja
426  ch_be_2273.wav	ich wrang meine kleidung aus	ich wrang meine kleidung aus
1543  ch_ag_1125.wav	in der kirche wird eine spende erbeten	in der kirche wird eine spende erbeten
1331  ch_sg_1631.wav	die schweiz eine schwimmnation	die schweiz eine schwimmnation
2195  ch_lu_2498.wav	ich hab nach ihr gegriffen und an der mündung gerochen	ich hab sie genau und an der mündung gerochen
2070  ch_lu_2539.wav	alter freund du schläfst jetzt ein	alter freund du schläfst jetzt ein
679  ch_gr_2214.wav	seither hat sie stark abgenommen	seither hat sie stark abgenommen
1527  ch_ag_2612.wav	da oben hat vor der pause jemand gesessen	da oben hat vor der pause jemand gesessen
619  ch_gr_2613.wav	jetzt sitze ich zum letzten mal	jetzt sitze ich zum letzten mal
