id	target_txt	prediction
621  ch_gr_1468.wav	weshalb haben sie eigentlich deutschland im auge	wir haben diesen sich die eine schweizen
558  ch_gr_2389.wav	ja ich glaube jetzt habe ich das verstanden	wir haben diesen sich diesen antrag diese schweizen
1651  ch_ag_1523.wav	allerdings ist sie nicht selbstverständlich	wir haben sie diesen sich dieser antrag auf diesesen kanton
2272  ch_lu_0513.wav	positiv für geldbeutel und umwelt	wir haben wir diesen sind diesesen sind diesesen sich die schweizigen
234  ch_vs_2693.wav	ich trank noch ein glas	sie haben sie die schweissen sich die schweisen
1526  ch_ag_0950.wav	die erde gilt als der blaue planet	wir haben die schweizeiten diesen antragen
1253  ch_sg_2501.wav	nicky rollte sich auf die seite	wir haben diese sich diese sich die schweizen
1391  ch_sg_2675.wav	du tanzt so leicht wie eine feder	das ist eine sich dass das die schweizerten
1480  ch_sg_0924.wav	videoconferencing boomt	wir haben diesen sich diese antragen
2123  ch_lu_1780.wav	ich kehre laub immer nur ende herbst	wir haben diesen sich auf diesesen anderen
1820  ch_bs_1499.wav	seit zehn jahren ist sie konstant	wir haben diesen sich diese sich dieser antragen
92  ch_vs_0862.wav	gefeit vor krisen ist niemand	sie haben sich die schweissen wieder auf der schweisen
1577  ch_ag_0428.wav	sie blüht dort von februar bis märz	wir haben diesen auch diesen antrag diese schweizigen
156  ch_vs_2494.wav	ich bin nur so gerannt um dich einzuholen	wir haben diesen antrag die schweizen
1926  ch_bs_2409.wav	dann rufst du einfach laut nach mir	wir haben diesen sich diesen sich dieser antragen
226  ch_vs_2678.wav	ich fürchte dass er euch täuscht	das ist eine schweisen die schweizen
673  ch_gr_1523.wav	allerdings ist sie nicht selbstverständlich	wir haben diesen sich auf diesen antragen
1756  ch_ag_2207.wav	ich starre in die weiten des ozeans	wir haben diesen antragen diesen antragen
1320  ch_sg_0063.wav	das auto rast durch die nacht	wir haben diese sich diesen sich dieser antragen
1840  ch_bs_0221.wav	aber er widersprach auch nicht	wir haben die schweisen die schweizen
365  ch_be_2702.wav	wir umarmen uns fest	sie haben die schweissen wieder sich auf der schweisen
1377  ch_sg_1142.wav	sonst ist es dann morgen wieder trocken	wir haben diesen sie dieser sind diesesen sich dieser auf diesen antragen
803  ch_gr_1849.wav	drohnen vermessen die schneedicke	wir haben diesen sich diese sich die schweisen
571  ch_gr_1723.wav	er warf die flasche zur seite	das ist eine geschäften diese schweisen
1578  ch_ag_2559.wav	arbeitest du überhaupt genug schnell für diesen job	wir haben diesen sich dass die schweizerten
2240  ch_lu_1181.wav	guten abend willkommen beim meteo	wir haben diese antragen dieser kanton berneiten
1722  ch_ag_2601.wav	ich wohne in einem kleinen hotel und erhole mich	wir haben diesen sind diesen sich die schweizerten
302  ch_be_2477.wav	er trank bier und rauchte	wir haben diesen auch diese antragen
2066  ch_lu_2505.wav	dann rülpste er gewaltig und kicherte darüber	wir haben diesen antrag die schweizen
2067  ch_lu_0474.wav	wochentags werden eher frühstücksflocken zum frühstück serviert	wir haben diesen auch diesen antragen der regierungsrat
1723  ch_ag_2629.wav	auf diese weise sparst du jede menge zeit	das ist eine schweisen sich die schweizen
837  ch_zh_3686.wav	wir waren total erstaunt über lena'	wir haben diesen sich diesen antrag der schweizerten
1535  ch_ag_1864.wav	auf zweitausend metern elf grad	wir haben diesen sich die eine schweizen
1895  ch_bs_1698.wav	hommes bereitet schon das haus vor	wir haben die schweissen wird die schweisen
939  ch_zh_2758.wav	doch es kam anders<<unk>>nein ''	wir haben diesen auf die schweisen
2113  ch_lu_1838.wav	am abend klar mit wenigen wolken	wir haben diesen sich dieser antrag der regierungsraten
